"Đại học Wisconsin-Milwaukee, ""Cuộc tẩy chay hàng loạt của người Mỹ gốc Phi của người Mỹ gốc Phi: Thách thức lực lượng lao động cho năm 2013"", 2013"
"The Daily Beast, ""Tiệc trà bên trái: US Uncut,"" ngày 3 tháng 3 năm 2011"
"Politico, ""Nhóm biểu tình của Anh lan sang Mỹ"", ngày 28 tháng 3 năm 2011"
"PolitiFact Wisconsin, ""Khải huyền Jesse Jackson nói Milwaukee là thành phố tách biệt nhất ở Mỹ"", ngày 18 tháng 4 năm 2011"
"Salon, ""10 khu đô thị tách biệt nhất ở Mỹ"", ngày 29 tháng 3 năm 2011"
"Milwaukee Journal Sentinel, ""khu vực Milwaukee đứng đầu nghiên cứu phân biệt Brookings của dữ liệu điều tra dân số,"" ngày 14 tháng 12 năm 2010"
"Business Insider, ""25 thành phố tách biệt nhất ở Mỹ"", ngày 22 tháng 11 năm 2013"
bài đăng Facebook
"Cuộc phỏng vấn qua điện thoại với Nancy Pope, nhà sử học và giám tuyển tại Bảo tàng Bưu điện Quốc gia ở Washington, DC"
"Snopes: ""Hình ảnh cho thấy trẻ em được gửi qua thư"", Đánh giá nó một hỗn hợp."
"Giao hàng rất đặc biệt, Nancy Pope, nhà sử học và giám tuyển, Blog Bảo tàng Bưu điện Quốc gia Smithsonian, ngày 19 tháng 2 năm 2013."
"Làm thế nào nhiều tem nó có để gửi một em bé? Smithsonian Institutional Archives, bởi Catherine Shteynberg, ngày 16 tháng 6 năm 2009"
Khám phá: Gửi thư cho trẻ qua bưu kiện? GenealogyBank.com
"Rò rỉ hàng ngày, ""Các thượng nghị sĩ đảng Cộng hòa mới được bầu đã ký cam kết loại bỏ chương trình tem thực phẩm vào năm 2015"", tháng 12 năm 2014"
"Hàng ngày Rò rỉ, trang Câu hỏi thường gặp, được truy cập vào ngày 6 tháng 1 năm 2015"
"Bộ Nông nghiệp Hoa Kỳ, bản tóm tắt ngân sách năm tài chính 2015 và kế hoạch hiệu suất hàng năm, được truy cập vào ngày 6 tháng 1 năm 2015"
"Văn phòng đại diện Cory Gardner, ""tuyên bố của Gardner về 'Loại bỏ hành động Obamacare,' được truy cập vào ngày 6 tháng 1 năm 2015"
"PolitiFact, ""18 kiểm tra thực tế những điều đã sai trên Internet"", ngày 28 tháng 12 năm 2014"
"Cuộc phỏng vấn qua email với Dave Weigel, blogger chính trị cho Bloomberg, ngày 6 tháng 1 năm 2015"
"Cuộc phỏng vấn qua email với Alex Siciliano, người phát ngôn của Thượng nghị sĩ Cory Gardner, ngày 6 tháng 1 năm 2015"
"Nahadaily.com, Fox News phát sóng bộ phim Stuart Scott RIP với bức ảnh của Stephen A. Smith, ngày 4 tháng 1 năm 2015"
"Fox News, trung tâm thể thao mạo hiểm Stuart Scott đã chết lúc 49 tuổi, ngày 4 tháng 1 năm 2014"
"Snopes, Smith và Lesson, ngày 5 tháng 1 năm 2014"
Meme được gửi bởi người đọc đến PolitiFact
"Cục thống kê lao động, ""Thống kê lực lượng lao động từ cuộc điều tra dân số hiện tại"" (trang chỉ mục), truy cập ngày 8 tháng 12 năm 2014"
"NPR, ""Báo cáo việc làm tháng 11 cho thấy sự tăng trưởng ổn định"", ngày 5 tháng 12 năm 2014"
"CNN Money, ""Năm 2014 là năm tốt nhất để kiếm việc làm kể từ năm 1999,"" ngày 5 tháng 12 năm 2014"
"Cuộc phỏng vấn qua email với Tara Sinclair, nhà kinh tế học Đại học George Washington, ngày 8 tháng 12 năm 2014"
"Cuộc phỏng vấn qua email với Gary Burtless, đồng chí cao cấp tại Học viện Brookings, ngày 8 tháng 12 năm 2014"
Phương tiện truyền thông xã hội meme được gửi cho PolitiFact bởi người đọc
"Officer Down Memorial Page, trang web, truy cập vào ngày 2 tháng 12 năm 2014"
"FBI, Nhân viên thực thi pháp luật Trang chủ bị tấn công và bị tấn công, được truy cập vào ngày 2 tháng 12 năm 2014"
"Nhà Trắng, tuyên bố tổng thống cho Ngày tưởng niệm nhân viên hòa bình và Tuần cảnh sát, ngày 7 tháng 5 năm 2010"
"Nhà Trắng, nhận xét tổng thống tại Đài tưởng niệm các sĩ quan hòa bình quốc gia, ngày 15 tháng 5 năm 2010"
"Nhà Trắng, nhận xét tổng thống tại một buổi lễ Nhà Trắng Rose Garden vinh danh Hiệp hội các tổ chức cảnh sát quốc gia ""Top Cops"", ngày 12 tháng 5 năm 2011"
"Nhà Trắng, nhận xét tổng thống tại Dịch vụ tưởng niệm các sĩ quan hòa bình quốc gia tại Tòa nhà Quốc hội Hoa Kỳ, ngày 15 tháng 5 năm 2012"
"Nhà Trắng, nhận xét tổng thống tại Dịch vụ tưởng niệm các sĩ quan hòa bình quốc gia tại Tòa nhà Quốc hội Hoa Kỳ, ngày 15 tháng 5 năm 2013"
"Nhà Trắng, tuyên bố tổng thống cho Ngày tưởng niệm nhân viên hòa bình và Tuần cảnh sát, ngày 9 tháng 5 năm 2014"
"Associated Press, ""Obama gửi nhà trắng trợ lý cho tang lễ Michael Brown,"" ngày 23 tháng 8 năm 2014"
"Fox News, ""Nhiều quan chức Nhà Trắng tại tang lễ của Michael Brown hơn đám cưới của Thatcher"", ngày 25 tháng 8 năm 2014"
Phương tiện truyền thông xã hội meme chuyển tiếp đến PolitiFact
"Elisabeth Tooker, ""Hiến pháp Hoa Kỳ và Liên đoàn Iroquois"" (bài viết trong Ethnohistory), Mùa thu năm 1988"
"Alison LaCroix, Nguồn gốc tư tưởng của chủ nghĩa liên bang Mỹ, 2010"
"Donald A. Grinde, Jr., và Bruce E. Johansen, Gương mẫu tự do: Thổ dân Mỹ và sự tiến hóa của nền dân chủ, chương 10, truy cập ngày 26 tháng 11 năm 2014"
"Văn bản của H. Con. Res. 331 (Đại hội lần thứ 100, kỳ họp thứ 2), 1988"
"Bruce E. Johansen, ""Ý tưởng của người Mỹ bản xứ về quản trị và hiến pháp Hoa Kỳ"", ngày 1 tháng 6 năm 2009"
"Cracked.com, ""6 vô lý nói dối bạn tin về sự thành lập của Mỹ,"" ngày 15 tháng 5 năm 2012"
"Cuộc phỏng vấn qua email với Jon W. Parmenter, sử gia Đại học Cornell và tác giả của The Edge of the Woods: Iroquoia, 1534-1701, ngày 26 tháng 11 năm 2014"
"Cuộc phỏng vấn qua email với Donald A. Grinde, Jr., nhà sử học tại Đại học Buffalo và đồng tác giả, với Bruce E. Johansen, của Exemplar of Liberty: Native America và Evolution of Democracy, 26/11/2014"
"Cuộc phỏng vấn qua email với Stewart Jay, giáo sư luật của Đại học Washington và là tác giả của các từ Mortal: Lịch sử Hiến pháp Hoa Kỳ: Tập 1, Nguồn gốc của Thế chiến II (sắp tới 2015), ngày 26 tháng 11 năm 2014"
"Cuộc phỏng vấn qua email với Gautham Rao, nhà sử học Đại học Mỹ và là tác giả của At The Water’s Edge: Thương mại, Quản trị và Nguồn gốc của Nhà nước Hoa Kỳ (sắp xuất bản), ngày 26 tháng 11 năm 2014"
"Cuộc phỏng vấn qua email với Bernard Bailyn, giáo sư danh dự lịch sử tại Đại học Harvard, ngày 25 tháng 11 năm 2014"
Email chuỗi được gửi đến PolitiFact bởi người đọc
"Snopes.com, ""Chương trình Hồi giáo"", ngày 21 tháng 8 năm 2014"
"Trang web của Church Sign Maker, được truy cập vào ngày 20 tháng 11 năm 2014"
"Facebook, Là ảnh thời gian tự do, ngày 12 tháng 11 năm 2014"
"Fox News, Để được hạnh phúc, chúng ta phải thừa nhận phụ nữ và nam giới không 'bình đẳng', ngày 5 tháng 2 năm 2013"
"Lưu trữ Internet, Để được hạnh phúc - lấy trang, ngày 7 tháng 2 năm 2013"
"Jessica Valenti, Shhhh… không ai nói với Fox News, ngày 6 tháng 2 năm 2013"
"Gawker, Fox News tình cờ sử dụng hình ảnh của cặp đôi cùng giới tính để minh họa bài viết về tầm quan trọng của hôn nhân khác giới, ngày 8 tháng 2 năm 2014"
"BuzzFeed, Fox News chạy ảnh của cặp đôi Lesbian trong câu chuyện về hôn nhân truyền thống, ngày 8 tháng 2 năm 2014"
