claim,page_citation,claim_label
"Không chỉ không có bằng chứng khoa học cho thấy CO2 là một chất gây ô nhiễm, nồng độ CO2 cao hơn thực sự giúp các hệ sinh thái hỗ trợ nhiều đời sống thực vật và động vật hơn.","Quang hợp, truy cập ngày 6 tháng 10 năm 2009",0
"Không chỉ không có bằng chứng khoa học cho thấy CO2 là một chất gây ô nhiễm, nồng độ CO2 cao hơn thực sự giúp các hệ sinh thái hỗ trợ nhiều đời sống thực vật và động vật hơn.","Cơ quan Bảo vệ Môi trường, EPA Tìm khí nhà kính Đưa ra mối đe dọa đối với sức khỏe cộng đồng, Phúc lợi / Phát hiện đề xuất được đưa ra để đáp ứng với phán quyết của tòa án tối cao năm 2007, ngày 17 tháng 4 năm 2009",0
"Không chỉ không có bằng chứng khoa học cho thấy CO2 là một chất gây ô nhiễm, nồng độ CO2 cao hơn thực sự giúp các hệ sinh thái hỗ trợ nhiều đời sống thực vật và động vật hơn.","Wall Street Journal, Hoa Kỳ về sự thay đổi lịch sử về CO2, bởi Jonathan Weisman và Siobhan Hughes, ngày 18 tháng 4 năm 2009",0
"Không chỉ không có bằng chứng khoa học cho thấy CO2 là một chất gây ô nhiễm, nồng độ CO2 cao hơn thực sự giúp các hệ sinh thái hỗ trợ nhiều đời sống thực vật và động vật hơn.","Xem xét quốc gia trực tuyến, Thêm Carbon Dioxide, Xin vui lòng, bởi Roy Spencer, ngày 01 tháng 5 năm 2008",0
"Không chỉ không có bằng chứng khoa học cho thấy CO2 là một chất gây ô nhiễm, nồng độ CO2 cao hơn thực sự giúp các hệ sinh thái hỗ trợ nhiều đời sống thực vật và động vật hơn.","Nhà khoa học mới, CO2: Không đếm trên cây, ngày 27 tháng 10 năm 2009, bởi Douglas Fox",0
"Không chỉ không có bằng chứng khoa học cho thấy CO2 là một chất gây ô nhiễm, nồng độ CO2 cao hơn thực sự giúp các hệ sinh thái hỗ trợ nhiều đời sống thực vật và động vật hơn.","Khoa học hàng ngày, Biến đổi khí hậu bất ngờ: Mức độ carbon dioxide cao có thể làm chậm tăng trưởng thực vật, nghiên cứu tiết lộ, ngày 6 tháng 12 năm 2002",0
Cap-and-trade cực kỳ không được người Mỹ ưa chuộng.,"Nhà kinh doanh hàng ngày của nhà đầu tư, Người huy chương đồng Euro, ngày 2 tháng 9 năm 2009",0
Cap-and-trade cực kỳ không được người Mỹ ưa chuộng.,"Báo cáo của Rasmussen, 56% không muốn trả nhiều hơn để chống lại sự nóng lên toàn cầu, truy cập vào ngày 2 tháng 9 năm 2009",0
Cap-and-trade cực kỳ không được người Mỹ ưa chuộng.,"Washington Post, giới hạn về phát thải có sự hỗ trợ rộng rãi, Steven Mufson và Jennifer Agiesta, ngày 25 tháng 6 năm 2009",0
Cap-and-trade cực kỳ không được người Mỹ ưa chuộng.,"Washington Post, Washington Post-ABC News thăm dò ý kiến ​​từ 13-17 tháng 8 năm 2009, truy cập ngày 2 tháng 9 năm 2009",0
